date,open,high,low,close,volume,SMA_50,SMA_100,SMA_200,avg_gain,avg_loss,RSI_30,monthly_mean,EMA_30,EMA_200
29-07-1998,1.0041,1.0125,0.8958,0.002481371,0.013565781,0.002019547,0.001412099,0.001062059,0.03396,0.024463333,0.531386772,0.911206667,0.002724996,0.001296297
30-07-1998,0.9312,0.9583,0.8791,0.002686118,0.022635728,0.00206964,0.001439873,0.00108068,0.034116667,0.024463333,0.532890266,0.92086,0.00274088,0.001320624
31-07-1998,0.9542,0.9594,0.9094,0.002587261,0.008927477,0.002118278,0.001466615,0.001098732,0.034116667,0.0233,0.548732942,0.931676667,0.002749033,0.001343527
03-08-1998,0.9146,0.9292,0.8938,0.002496675,0.008532737,0.002164951,0.001493015,0.00111631,0.03304,0.02403,0.528249854,0.940686667,0.002750516,0.001365121
04-08-1998,0.9177,0.951,0.901,0.002552516,0.019862147,0.002213817,0.001520257,0.001134596,0.031946667,0.02403,0.517208138,0.948603333,0.002755691,0.001387166
05-08-1998,0.9401,0.9427,0.8333,0.002425531,0.016120583,0.002261498,0.00154604,0.001152117,0.028803333,0.025053333,0.469009831,0.952353333,0.002751918,0.001407475
06-08-1998,0.8698,0.9375,0.8589,0.002539693,0.012787888,0.002309864,0.001573042,0.001170079,0.027743333,0.025053333,0.456470611,0.955043333,0.002756133,0.001428946
07-08-1998,0.9271,0.9907,0.9115,0.002763881,0.01639981,0.002363228,0.001602385,0.001188636,0.02955,0.024843333,0.480355398,0.95975,0.002775282,0.001452882
10-08-1998,0.975,1.0156,0.9583,0.00295746,0.01272193,0.002419897,0.001632845,0.001208243,0.03111,0.023506667,0.515721025,0.967353333,0.002806327,0.001478893
11-08-1998,0.9625,1.0573,0.9604,0.003039359,0.01993222,0.002479214,0.001664475,0.001228369,0.03052,0.023506667,0.509410655,0.974366667,0.002840923,0.001505623
12-08-1998,1.0563,1.0959,1.0339,0.003259411,0.013937837,0.002542556,0.001698568,0.001249164,0.032016667,0.023506667,0.52515692,0.982876667,0.002888214,0.001534717
13-08-1998,1.0885,1.125,1.0583,0.003160139,0.017293844,0.002604846,0.001731587,0.001270303,0.028023333,0.024306667,0.469945868,0.986593333,0.00292572,0.001562336
14-08-1998,1.089,1.0896,1.0021,0.002996341,0.013390424,0.002662479,0.00176269,0.001289612,0.02528,0.025626667,0.417696436,0.986246667,0.002949695,0.001587722
17-08-1998,1.0063,1.0266,0.9875,0.002890866,0.009807401,0.002717605,0.001793103,0.001307736,0.020973333,0.026476667,0.344409606,0.980743333,0.00296497,0.001611595
18-08-1998,1.0099,1.076,0.9927,0.003201089,0.012336979,0.002777843,0.001826784,0.001328058,0.023473333,0.02165,0.449393513,0.982566667,0.003000302,0.001638938
19-08-1998,1.0937,1.1146,1.0583,0.003203157,0.013294432,0.002834468,0.001860053,0.001348442,0.02349,0.017483333,0.520679712,0.988573333,0.003033494,0.001666033
20-08-1998,1.0521,1.0812,1.0458,0.003215979,0.010755513,0.00288927,0.001893299,0.001368919,0.023593333,0.017033333,0.530662502,0.995133333,0.003065415,0.001693012
