date,open,high,low,close,volume
09-12-1998,1.7115,1.8693,1.6833,1.8021,7751108
10-12-1998,1.8135,1.8666,1.7468,1.776,5060209
11-12-1998,1.7505,1.8666,1.75,1.8583,4244528
14-12-1998,1.8427,1.9167,1.8167,1.8521,6458507
15-12-1998,1.8916,2.025,1.8791,2.0229,6335801
16-12-1998,2.1593,2.5146,2.1593,2.4083,16965982
17-12-1998,2.1999,2.4291,2.1713,2.3062,11272186
18-12-1998,2.3584,2.4084,2.3157,2.3891,3825357
21-12-1998,2.5291,2.6812,2.4999,2.6562,5563866
22-12-1998,2.7245,2.7417,2.5719,2.6865,5301370
23-12-1998,2.7333,2.75,2.6593,2.7083,2427273
24-12-1998,2.6855,2.725,2.6584,2.7068,902312
28-12-1998,2.7583,3.0156,2.7083,2.9328,4983104
29-12-1998,2.9167,2.9177,2.7375,2.7693,4101354
30-12-1998,2.775,2.8604,2.5323,2.6771,5430606
31-12-1998,2.6438,2.7583,2.6344,2.6771,3049703
04-01-1999,2.7307,2.9667,2.6656,2.9578,6548707
05-01-1999,2.7391,3.2438,2.6625,3.1125,31436598
06-01-1999,3.4094,3.5094,3.35,3.45,18088301
07-01-1999,3.4282,4.0063,3.325,3.9719,23637301
08-01-1999,4.6063,4.9782,3.8,4.0063,33331518
11-01-1999,4.6,4.6249,4.1906,4.6156,19461289
12-01-1999,4.5125,4.55,3.975,4.0844,12221600
13-01-1999,3.125,4.0875,3.125,3.7,14938200
14-01-1999,3.75,3.9813,3.4,3.45,10456200
15-01-1999,3.5,3.7516,3.4407,3.5094,10066300
19-01-1999,3.7625,3.7625,3.4063,3.4953,5702700
20-01-1999,3.3766,3.425,2.7438,2.825,15267600
21-01-1999,2.6125,2.7594,2.3141,2.65,23524100
22-01-1999,2.4875,3.1469,2.4688,3.075,21882301
25-01-1999,3.0375,3.0844,2.75,2.8094,13661899
26-01-1999,2.8156,3.0312,2.7656,2.8773,12267187
27-01-1999,3.3531,3.4937,3,3.1406,17508522
28-01-1999,3.161,3.2188,3.0063,3.0719,11875300
29-01-1999,3.0406,3.0406,2.875,2.9234,8197860
01-02-1999,2.9438,3.0578,2.875,2.8969,6390500
02-02-1999,2.9095,2.911,2.7125,2.7563,6524418
03-02-1999,2.725,3.1501,2.7125,3.1438,9395649
04-02-1999,3.1313,3.1688,2.9063,2.95,5824800
05-02-1999,2.925,3.0719,2.8078,2.8969,4283000
08-02-1999,2.8593,2.8781,2.6437,2.7281,6298984
