date,open,high,low,close,volume,SMA_50,SMA_100,SMA_200,delta,gains,loss,avg_gain,avg_loss,rs,RSI_30,monthly_mean,EMA_30,EMA_200
23-09-1997,0.2245,0.2322,0.2198,0.2312,640162,0.12909,,,0.0062,0.0062,0,0.006036667,0.00221,2.731523379,73.20129345,0.13869,0.151216109,0.108690561
24-09-1997,0.2322,0.2405,0.2146,0.2187,683244,0.131026,,,-0.0125,0,0.0125,0.006036667,0.00241,2.504840941,71.46803473,0.142316667,0.155569908,0.109785182
25-09-1997,0.2172,0.2177,0.2026,0.2039,414000,0.13277,,,-0.0148,0,0.0148,0.006036667,0.002903333,2.079219288,67.52423565,0.14545,0.158687979,0.110721648
26-09-1997,0.2036,0.2129,0.2026,0.2083,227546,0.134718,,,0.0044,0.0044,0,0.006183333,0.002833333,2.182352941,68.5767098,0.1488,0.161888754,0.111692577
29-09-1997,0.2073,0.2094,0.1979,0.2021,197600,0.136604,,,-0.0062,0,0.0062,0.006183333,0.00297,2.081930415,67.55280408,0.152013333,0.164483028,0.112592153
30-09-1997,0.2,0.2174,0.1901,0.2169,437800,0.13876,,,0.0148,0.0148,0,0.006676667,0.00285,2.342690058,70.08397481,0.15584,0.167864768,0.113630042
01-10-1997,0.2218,0.2249,0.1968,0.201,416497,0.140644,,,-0.0159,0,0.0159,0.00647,0.00338,1.914201183,65.68527919,0.15893,0.170002525,0.114499395
02-10-1997,0.2021,0.2089,0.1995,0.2005,156400,0.142362,,,-0.0005,0,0.0005,0.00647,0.003396667,1.904808636,65.57432432,0.162003333,0.171970104,0.115355123
03-10-1997,0.2042,0.2063,0.199,0.2008,97000,0.144118,,,0.0003,0.0003,0,0.00648,0.00331,1.957703927,66.18998979,0.165173333,0.173830098,0.11620532
06-10-1997,0.2,0.2062,0.1971,0.2062,168959,0.146012,0.117329,,0.0054,0.0054,0,0.006643333,0.00331,2.007049345,66.74480911,0.168506667,0.175918478,0.11710079
07-10-1997,0.2042,0.2094,0.2021,0.2029,145236,0.147748,0.118379,,-0.0033,0,0.0033,0.006486667,0.00342,1.89668616,65.47779273,0.171573333,0.177659222,0.117954513
08-10-1997,0.2074,0.2084,0.1992,0.2003,233959,0.149274,0.119517,,-0.0026,0,0.0026,0.006276667,0.003506667,1.789923954,64.15672913,0.174343333,0.179119917,0.118773871
09-10-1997,0.2,0.2011,0.187,0.1875,329200,0.150576,0.120538,,-0.0128,0,0.0128,0.006276667,0.00389,1.613538989,61.73770492,0.17673,0.179660568,0.119457713
10-10-1997,0.1865,0.2032,0.1834,0.1951,315681,0.152082,0.121671,,0.0076,0.0076,0,0.006436667,0.00389,1.654670094,62.33053583,0.179276667,0.18065666,0.120210373
13-10-1997,0.1964,0.2021,0.1964,0.2,67900,0.153666,0.122957,,0.0049,0.0049,0,0.0066,0.00383,1.723237598,63.27900288,0.182046667,0.181904617,0.1210043
14-10-1997,0.2032,0.2053,0.1917,0.199,128933,0.155334,0.124249,,-0.001,0,0.001,0.006573333,0.003863333,1.701466782,62.9830725,0.184756667,0.183007545,0.121780376
15-10-1997,0.1985,0.1985,0.1886,0.1961,196300,0.157048,0.12546,,-0.0029,0,0.0029,0.006573333,0.003926667,1.674023769,62.6031746,0.187403333,0.18385222,0.122519875
16-10-1997,0.1989,0.1989,0.1802,0.1812,290020,0.158422,0.12648,,-0.0149,0,0.0149,0.00621,0.004423333,1.403918613,58.40125392,0.18919,0.183681109,0.123103757
17-10-1997,0.1807,0.1827,0.176,0.1812,211142,0.159868,0.127526,,0,0,0,0.00621,0.004336667,1.431975404,58.88116308,0.191063333,0.183521037,0.123681829
20-10-1997,0.1838,0.1937,0.1833,0.1911,409293,0.161398,0.128684,,0.0099,0.0099,0,0.005706667,0.004336667,1.315910838,56.82044474,0.192433333,0.184010003,0.124352657
21-10-1997,0.1979,0.2219,0.1927,0.2214,1008229,0.163498,0.130148,,0.0303,0.0303,0,0.006316667,0.004336667,1.456571868,59.29286608,0.194413333,0.186422261,0.125318302
22-10-1997,0.2208,0.2309,0.2187,0.226,433904,0.16582,0.131653,,0.0046,0.0046,0,0.006366667,0.004336667,1.46810146,59.48302709,0.196443333,0.188975663,0.12632011
23-10-1997,0.2115,0.2281,0.2094,0.225,471400,0.168122,0.133163,,-0.001,0,0.001,0.006366667,0.004126667,1.542810985,60.67344346,0.198683333,0.191299814,0.127301999
24-10-1997,0.2375,0.2531,0.2271,0.2513,791001,0.170992,0.134968,,0.0263,0.0263,0,0.006356667,0.004126667,1.540387722,60.63593005,0.200913333,0.195170794,0.12853581
27-10-1997,0.24,0.2504,0.2114,0.2135,507482,0.173148,0.136332,,-0.0378,0,0.0378,0.006356667,0.004396667,1.445792267,59.11345319,0.202873333,0.196353323,0.129381225
28-10-1997,0.1959,0.25,0.1938,0.2474,976601,0.176054,0.137978,,0.0339,0.0339,0,0.007053333,0.004396667,1.604245641,61.60116448,0.20553,0.199646657,0.130555541
29-10-1997,0.2573,0.2749,0.25,0.2695,593790,0.179278,0.139829,,0.0221,0.0221,0,0.007703333,0.004396667,1.752084913,63.66391185,0.208836667,0.204153324,0.131938073
30-10-1997,0.2603,0.2676,0.2521,0.2562,397423,0.182236,0.141599,,-0.0133,0,0.0133,0.007703333,0.00465,1.656630824,62.35833783,0.21189,0.207511174,0.13317451
31-10-1997,0.2683,0.273,0.2485,0.2542,418983,0.185206,0.14337,,-0.002,0,0.002,0.00661,0.004716667,1.401413428,58.35785756,0.213783333,0.210523357,0.134378744
03-11-1997,0.2609,0.2609,0.2474,0.2536,166567,0.188154,0.145104,,-0.0006,0,0.0006,0.00569,0.004736667,1.201266714,54.57161125,0.214736667,0.213302495,0.135565025
04-11-1997,0.25,0.2526,0.2412,0.2479,197100,0.190894,0.146791,,-0.0057,0,0.0057,0.005483333,0.004926667,1.112990528,52.67371118,0.215293333,0.215534592,0.136682786
05-11-1997,0.2489,0.2559,0.2437,0.2437,257747,0.193424,0.148442,,-0.0042,0,0.0042,0.005483333,0.00465,1.17921147,54.11184211,0.216126667,0.217351715,0.137747634
06-11-1997,0.2459,0.2459,0.2318,0.2331,242852,0.195768,0.15002,,-0.0106,0,0.0106,0.005483333,0.00451,1.215816704,54.86991328,0.2171,0.218367734,0.138696414
07-11-1997,0.2209,0.2321,0.2193,0.224,218949,0.197874,0.151505,,-0.0091,0,0.0091,0.005336667,0.004813333,1.108725762,52.57799672,0.217623333,0.218731106,0.139545205
10-11-1997,0.225,0.2281,0.2104,0.2104,230400,0.199744,0.152854,,-0.0136,0,0.0136,0.005336667,0.00506,1.054677207,51.33055466,0.2179,0.218193615,0.140250228
11-11-1997,0.2123,0.2156,0.1959,0.1974,359400,0.201338,0.154065,,-0.013,0,0.013,0.004843333,0.005493333,0.881674757,46.85585295,0.21725,0.216852091,0.140818883
12-11-1997,0.1887,0.2093,0.1833,0.1885,723409,0.202774,0.1552,,-0.0089,0,0.0089,0.004843333,0.00526,0.920785805,47.93797427,0.216833333,0.215022924,0.141293322
13-11-1997,0.1975,0.1985,0.1886,0.193,357593,0.204082,0.156375,,0.0045,0.0045,0,0.004993333,0.005243333,0.952320407,48.77889938,0.216583333,0.21360209,0.141807816
14-11-1997,0.1968,0.2103,0.189,0.2083,488983,0.205748,0.157703,,0.0153,0.0153,0,0.005493333,0.005243333,1.047679593,51.16423471,0.216833333,0.21326002,0.14246943
17-11-1997,0.2114,0.227,0.2109,0.2187,616060,0.207122,0.159135,,0.0104,0.0104,0,0.00566,0.005243333,1.079465989,51.91073066,0.21725,0.213610986,0.143227943
18-11-1997,0.2187,0.2239,0.2172,0.2208,155465,0.208298,0.160598,,0.0021,0.0021,0,0.00573,0.005133333,1.116233766,52.74624118,0.217846667,0.214074794,0.143999804
19-11-1997,0.2203,0.2261,0.2156,0.2255,211200,0.209506,0.162082,,0.0047,0.0047,0,0.005886667,0.005046667,1.166446499,53.84146341,0.218686667,0.214811904,0.144810751
20-11-1997,0.2287,0.2303,0.2255,0.2292,493708,0.210934,0.163616,,0.0037,0.0037,0,0.00601,0.00462,1.300865801,56.53809972,0.220076667,0.215740168,0.145650445
21-11-1997,0.2276,0.2292,0.2245,0.2245,216900,0.211736,0.165067,,-0.0047,0,0.0047,0.005756667,0.004776667,1.205163992,54.65189873,0.221056667,0.216305319,0.146435018
24-11-1997,0.2188,0.2209,0.2115,0.2115,168340,0.212872,0.166226,,-0.013,0,0.013,0.005593333,0.00521,1.073576456,51.77414378,0.22144,0.215995298,0.147082431
25-11-1997,0.2121,0.2167,0.2021,0.2102,275466,0.213722,0.167328,,-0.0013,0,0.0013,0.005593333,0.00522,1.071519796,51.72626387,0.221813333,0.215621408,0.147710466
